"UTS","X1","X2"
"2017-04-12 16:31",5.17,166
"2017-04-12 17:35",8.69,101
"2017-04-12 17:38",6.81,140
"2017-04-12 18:06",4.95,120
"2017-04-12 18:36",10.92,189
"2017-04-12 18:38",7.02,185
"2017-04-12 18:43",8.03,175
"2017-04-12 19:05",6.39,102
"2017-04-12 19:11",4.61,126
"2017-04-12 19:24",6.36,188
"2017-04-12 19:37",7.8,112
"2017-04-12 19:41",6.18,123
"2017-04-12 19:46",8.47,134
"2017-04-12 19:55",5.19,111
"2017-04-12 19:56",8.51,97
"2017-04-12 20:17",4.23,162
"2017-04-12 20:29",6.59,105
"2017-04-12 20:31",7.43,125
"2017-04-12 20:38",10.99,154
"2017-04-12 20:39",10.62,179
"2017-04-12 20:43",6.92,189
"2017-04-12 20:45",5.08,128
"2017-04-12 20:47",4.43,172
"2017-04-12 20:51",10.16,163
"2017-04-12 20:56",9.68,176
"2017-04-12 20:57",5.23,146
"2017-04-12 21:00",6.12,111
"2017-04-12 21:03",7.45,135
"2017-04-12 21:07",9.21,153
"2017-04-12 21:09",8.18,101
"2017-04-12 21:13",7.23,114
"2017-04-12 21:15",7.8,175
"2017-04-12 21:17",10.35,146
"2017-04-12 21:25",5.48,110
"2017-04-12 21:28",7.24,127
"2017-04-12 21:31",5.9,123
"2017-04-12 21:33",9.65,184
"2017-04-12 21:35",4.9,155
"2017-04-12 21:36",6.99,172
"2017-04-12 21:39",7.86,152
"2017-04-12 21:39",5.69,168
"2017-04-12 21:43",6.7,164
"2017-04-12 21:49",7.03,120
"2017-04-12 21:55",4.66,183
"2017-04-12 21:56",5.86,116
"2017-04-12 22:00",7.84,94
"2017-04-12 22:05",10.78,163
"2017-04-12 22:05",7.44,106
"2017-04-12 22:09",5.33,119
"2017-04-12 22:11",8.92,118
"2017-04-12 22:13",5.92,172
"2017-04-12 22:15",9.07,176
"2017-04-12 22:24",4.53,176
"2017-04-12 22:28",8.65,168
"2017-04-12 22:29",6.43,160
"2017-04-12 22:29",7.37,143
"2017-04-12 22:32",5.23,160
"2017-04-12 22:35",4.46,160
"2017-04-12 22:38",9.13,164
"2017-04-12 22:42",8.43,175
"2017-04-12 22:42",7.61,115
"2017-04-12 22:46",7.94,117
"2017-04-12 22:51",7.26,172
"2017-04-12 22:55",4.11,109
"2017-04-12 23:02",6.63,101
"2017-04-12 23:04",4.92,105
"2017-04-12 23:05",10.32,168
"2017-04-12 23:05",11,178
"2017-04-12 23:08",6.58,125
"2017-04-12 23:10",5.62,159
"2017-04-12 23:18",10.23,127
"2017-04-12 23:20",8.41,158
"2017-04-12 23:23",8.83,181
"2017-04-12 23:27",4.22,179
"2017-04-12 23:28",6.99,142
"2017-04-12 23:35",8.38,108
"2017-04-12 23:36",5.99,128
"2017-04-12 23:45",6.54,182
"2017-04-12 23:46",5.92,173
"2017-04-12 23:56",4.23,156
"2017-04-12 23:56",5.01,126
"2017-04-13 00:02",5.92,120
"2017-04-13 00:13",8.37,176
"2017-04-13 00:25",5.2,159
"2017-04-13 00:26",5.72,96
"2017-04-13 00:28",9.93,140
"2017-04-13 00:30",7.55,146
"2017-04-13 00:37",4.14,106
"2017-04-13 00:54",10.99,108
"2017-04-13 00:56",10.67,159
"2017-04-13 01:02",7.28,99
"2017-04-13 01:05",5.11,152
"2017-04-13 01:12",9.25,95
"2017-04-13 01:39",4.92,110
"2017-04-13 01:39",7.76,137
"2017-04-13 02:02",4.86,105
"2017-04-13 02:06",10.49,139
"2017-04-13 02:43",7.06,103
"2017-04-13 03:05",5.08,184
"2017-04-13 03:23",5.21,126
